Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Amyotrophic lateral sclerosis,8/364,6.419366376151996e-11,3.723232498168159e-09,0,0,63.014446227929376,1478.8933863484087,TBK1;ERBB4;CHMP2B;TARDBP;SQSTM1;OPTN;SOD1;UBQLN2
KEGG_2021_Human,Pathways of neurodegeneration,8/475,5.307485183088062e-10,1.5391707030955377e-08,0,0,47.765065769348425,1020.1057471467782,TBK1;CHMP2B;PSEN1;MAPT;TARDBP;SQSTM1;OPTN;SOD1
KEGG_2021_Human,Necroptosis,4/159,4.903494038354116e-06,9.480088474151292e-05,0,0,46.52199413489736,568.757548684413,CYLD;CHMP2B;TRPM7;SQSTM1
KEGG_2021_Human,Mitophagy,3/68,1.6610279367976186e-05,0.0002408490508356547,0,0,76.61538461538461,843.1897584581213,TBK1;SQSTM1;OPTN
KEGG_2021_Human,Osteoclast differentiation,3/127,0.0001075959343894668,0.0012481128389178,0,0,40.042338709677416,365.8719620141805,CYLD;TREM2;SQSTM1
KEGG_2021_Human,RIG-I-like receptor signaling pathway,2/70,0.0012311035751016,0.0119006678926497,0,0,45.06108597285068,301.902259841425,CYLD;TBK1
KEGG_2021_Human,Peroxisome,2/82,0.0016841894934286,0.0139547129455515,0,0,38.27884615384615,244.4667348921532,DAO;SOD1
KEGG_2021_Human,Longevity regulating pathway,2/102,0.002589735528569,0.0187755825821256,0,0,30.59230769230769,182.21388842339516,PPARGC1A;SOD1
KEGG_2021_Human,Autophagy,2/137,0.0046133792489356,0.0297306662709187,0,0,22.62108262108262,121.67415851215912,TBK1;SQSTM1
KEGG_2021_Human,Cellular senescence,2/156,0.0059381164344082,0.0344410753195677,0,0,19.81118881118881,101.55935114166031,TRPM7;SQSTM1
KEGG_2021_Human,NOD-like receptor signaling pathway,2/181,0.007915010690894,0.0417336927338049,0,0,17.02277610657499,82.37311544233957,TBK1;TRPM7
KEGG_2021_Human,Shigellosis,2/246,0.0142368022062372,0.06881121066348,0,0,12.44703656998739,52.923865499652685,TBK1;SQSTM1
KEGG_2021_Human,MAPK signaling pathway,2/294,0.0199312567600718,0.0889240686218591,0,0,10.375658587987354,40.625539342308905,ERBB4;MAPT
KEGG_2021_Human,Huntington disease,2/306,0.0214829763129987,0.0890009018681376,0,0,9.96002024291498,38.251402533353854,PPARGC1A;SOD1
KEGG_2021_Human,Human papillomavirus infection,2/331,0.0248734801281655,0.0961774564955734,0,0,9.191489361702128,33.952930604542935,TBK1;PSEN1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",1/40,0.0295936471887674,0.1037865454189058,0,0,36.53113553113553,128.5967411966507,DAO
KEGG_2021_Human,Alzheimer disease,2/369,0.0304201943469206,0.1037865454189058,0,0,8.223852441836094,28.72302674541276,PSEN1;MAPT
KEGG_2021_Human,Arginine and proline metabolism,1/50,0.0368632785936063,0.118781675468287,0,0,29.06122448979592,95.91771596133704,DAO
KEGG_2021_Human,Notch signaling pathway,1/59,0.0433624594690451,0.1277044714648076,0,0,24.54064039408867,77.0124855419272,PSEN1
KEGG_2021_Human,Mineral absorption,1/60,0.0440820585634856,0.1277044714648076,0,0,24.12348668280872,75.30634662640054,TRPM7
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.0462378258751889,0.1277044714648076,0,0,22.952764976958527,70.5558142686329,TBK1
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.0505357551625392,0.1332306272466944,0,0,20.92121848739496,62.4513889160488,PPARGC1A
KEGG_2021_Human,ErbB signaling pathway,1/85,0.0619086933629976,0.1508670912068295,0,0,16.922619047619047,47.08032820576258,ERBB4
KEGG_2021_Human,IL-17 signaling pathway,1/94,0.0682499676931499,0.1508670912068295,0,0,15.278033794162829,41.01507826972229,TBK1
KEGG_2021_Human,mRNA surveillance pathway,1/98,0.0710554502653649,0.1508670912068295,0,0,14.645066273932253,38.72587137976069,TARDBP
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.0752488951179902,0.1508670912068295,0,0,13.787794729542302,35.66839153029831,TBK1
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.0752488951179902,0.1508670912068295,0,0,13.787794729542302,35.66839153029831,CYLD
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.0752488951179902,0.1508670912068295,0,0,13.787794729542302,35.66839153029831,CYLD
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.0773389858025288,0.1508670912068295,0,0,13.3955525606469,34.28668175050354,PPARGC1A
KEGG_2021_Human,Insulin resistance,1/108,0.07803470234836,0.1508670912068295,0,0,13.269692923898532,33.84570065779822,PPARGC1A
KEGG_2021_Human,Neurotrophin signaling pathway,1/119,0.0856553385007923,0.155754507975075,0,0,12.026029055690072,29.553049141820058,PSEN1
KEGG_2021_Human,AMPK signaling pathway,1/120,0.0863452004508286,0.155754507975075,0,0,11.92436974789916,29.2075758060758,PPARGC1A
KEGG_2021_Human,Insulin signaling pathway,1/137,0.0979987829751249,0.155754507975075,0,0,10.424894957983192,24.214948291558056,PPARGC1A
KEGG_2021_Human,Apelin signaling pathway,1/137,0.0979987829751249,0.155754507975075,0,0,10.424894957983192,24.214948291558056,PPARGC1A
KEGG_2021_Human,Yersinia infection,1/137,0.0979987829751249,0.155754507975075,0,0,10.424894957983192,24.214948291558056,TBK1
KEGG_2021_Human,Measles,1/139,0.0993606343978926,0.155754507975075,0,0,10.272774327122152,23.719828483584102,TBK1
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.0993606343978926,0.155754507975075,0,0,10.272774327122152,23.719828483584102,SQSTM1
KEGG_2021_Human,Hepatitis C,1/157,0.1115312319896432,0.16786298882512,0,0,9.079212454212454,19.91480418475504,TBK1
KEGG_2021_Human,Hepatitis B,1/162,0.1148846101623253,0.16786298882512,0,0,8.79503105590062,19.0309260537266,TBK1
KEGG_2021_Human,Wnt signaling pathway,1/166,0.1175588033667399,0.16786298882512,0,0,8.58008658008658,18.3683919207857,PSEN1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.1208909407624611,0.16786298882512,0,0,8.32563025210084,17.59094488328755,UBQLN2
KEGG_2021_Human,Influenza A,1/172,0.1215559574250869,0.16786298882512,0,0,8.276524644945697,17.441787201417434,TBK1
KEGG_2021_Human,RNA transport,1/186,0.1308170282961042,0.1764508753761406,0,0,7.644787644787645,15.549159120120551,TARDBP
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.1354133150044698,0.1784993697786192,0,0,7.363467261904762,14.72269011118729,TBK1
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.1412894962658868,0.1791404390805737,0,0,7.030561478322673,13.758417410895412,TBK1
KEGG_2021_Human,Proteoglycans in cancer,1/205,0.1432399253949917,0.1791404390805737,0,0,6.926120448179272,13.459074507019473,ERBB4
KEGG_2021_Human,Human immunodeficiency virus 1 infection,1/212,0.1477748587266597,0.1791404390805737,0,0,6.693974272173325,12.799316515826886,TBK1
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.1497115348985968,0.1791404390805737,0,0,6.59913217623498,12.532048548494316,TBK1
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.156137496570655,0.1791404390805737,0,0,6.301339285714286,11.7017021894609,TBK1
KEGG_2021_Human,Thermogenesis,1/232,0.1606086695205143,0.1791404390805737,0,0,6.108225108225108,11.170627381228671,PPARGC1A
KEGG_2021_Human,Coronavirus disease,1/232,0.1606086695205143,0.1791404390805737,0,0,6.108225108225108,11.170627381228671,TBK1
KEGG_2021_Human,Ras signaling pathway,1/232,0.1606086695205143,0.1791404390805737,0,0,6.108225108225108,11.170627381228671,TBK1
KEGG_2021_Human,Calcium signaling pathway,1/240,0.1656915032214509,0.181322777110267,0,0,5.901374775851763,10.608474375358169,ERBB4
KEGG_2021_Human,Parkinson disease,1/249,0.1713753475529466,0.1827125668952825,0,0,5.684619815668203,10.02709585103008,MAPT
KEGG_2021_Human,Endocytosis,1/252,0.1732619168834576,0.1827125668952825,0,0,5.615822424587365,9.844260742933525,CHMP2B
KEGG_2021_Human,Prion disease,1/273,0.1863560784546836,0.193011652685208,0,0,5.176733193277311,8.697408912815549,SOD1
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.2350706706221478,0.239194717475168,0,0,3.972480777013355,5.751632103803267,ERBB4
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.3150175866782025,0.3150175866782025,0,0,2.800804828973843,3.235284750299428,TBK1
