Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,RNA Transport (GO:0050658),3/39,8.14814273168754e-07,0.00010837029833144429,0,0,237.54761904761904,3330.490221999196,ATXN2;HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,RNA Export From Nucleus (GO:0006405),3/65,3.867968576160699e-06,0.00025721991031468647,0,0,137.75115207373273,1716.7624551820877,GLE1;HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,Regulation Of RNA Splicing (GO:0043484),3/102,1.5057411496568352e-05,0.0006675452430145303,0,0,86.10822510822511,956.11475242349,TIA1;FUS;HNRNPA1
GO_Biological_Process_2023,Non-Membrane-Bounded Organelle Assembly (GO:0140694),3/135,3.486180000022814e-05,0.0011591548500075,0,0,64.47402597402598,661.7690675331174,ATXN2;TIA1;C9ORF72
GO_Biological_Process_2023,Stress Granule Assembly (GO:0034063),2/24,6.173695322587491e-05,0.0013685024631735,0,0,226.9090909090909,2199.345382715804,TIA1;C9ORF72
GO_Biological_Process_2023,Amyloid Fibril Formation (GO:1990000),2/24,6.173695322587491e-05,0.0013685024631735,0,0,226.9090909090909,2199.345382715804,FUS;HNRNPA1
GO_Biological_Process_2023,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),2/35,0.00013270327104745937,0.0024681368900021,0,0,151.18939393939394,1349.7274345163214,HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,RNA Stabilization (GO:0043489),2/37,0.0001484593618046431,0.0024681368900021,0,0,142.53571428571428,1256.4807280914272,TAF15;FUS
GO_Biological_Process_2023,Negative Regulation Of mRNA Catabolic Process (GO:1902373),2/41,0.0001825931686229406,0.0026983212696501,0,0,127.89102564102564,1100.9179217565816,TAF15;FUS
GO_Biological_Process_2023,Nucleocytoplasmic Transport (GO:0006913),2/50,0.00027212309342677823,0.0033900158282323,0,0,103.86458333333331,852.6509585567859,GLE1;HNRNPA1
GO_Biological_Process_2023,mRNA Stabilization (GO:0048255),2/53,0.00030586608976532464,0.0033900158282323,0,0,97.74019607843135,790.9491626745274,TAF15;FUS
GO_Biological_Process_2023,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",2/53,0.00030586608976532464,0.0033900158282323,0,0,97.74019607843135,790.9491626745274,TIA1;HNRNPA1
GO_Biological_Process_2023,Post-Transcriptional Regulation Of Gene Expression (GO:0010608),2/57,0.0003538767443157693,0.0034809664924306,0,0,90.61363636363636,720.0668690209761,ATXN2;MATR3
GO_Biological_Process_2023,mRNA Transport (GO:0051028),2/58,0.00036641752551901487,0.0034809664924306,0,0,88.99107142857143,704.0739609142095,GLE1;HNRNPA2B1
GO_Biological_Process_2023,mRNA Export From Nucleus (GO:0006406),2/62,0.0004187278779227326,0.0037127205175815,0,0,83.04166666666667,645.9221077078342,GLE1;HNRNPA2B1
GO_Biological_Process_2023,Regulation Of mRNA Stability (GO:0043488),2/74,0.0005961775138681929,0.0049557255840293,0,0,69.15972222222223,513.5090074723809,TAF15;FUS
