Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,4/242,4.146968312680285e-06,0.00014929085925649026,0,0,55.32773109243698,685.6839309989614,GLE1;FUS;HNRNPA2B1;HNRNPA1
Reactome_2022,FGFR2 Alternative Splicing R-HSA-6803529,2/26,7.265883245949173e-05,0.0008542552039585416,0,0,207.97916666666663,1981.9864686095775,TIA1;HNRNPA1
Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,3/181,8.34840423347246e-05,0.0008542552039585416,0,0,47.70144462279293,447.95735232549777,FUS;HNRNPA2B1;HNRNPA1
Reactome_2022,mRNA Splicing R-HSA-72172,3/189,9.49172448842824e-05,0.0008542552039585416,0,0,45.63133640552996,422.6604885707104,FUS;HNRNPA2B1;HNRNPA1
Reactome_2022,Metabolism Of RNA R-HSA-8953854,4/666,0.00021799268262833116,0.0015695473149239,0,0,19.464249748237663,164.1040445758655,GLE1;FUS;HNRNPA2B1;HNRNPA1
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,2/72,0.0005644733393963211,0.0033868400363779,0,0,71.14285714285714,532.1213524698264,TIA1;HNRNPA1
Reactome_2022,Signaling By FGFR R-HSA-190236,2/86,0.000804171683586709,0.0041357400870173,0,0,59.24404761904762,422.1551782881061,TIA1;HNRNPA1
Reactome_2022,Adherens Junctions Interactions R-HSA-418990,1/29,0.0144088467211374,0.0648398102451184,0,0,79.21428571428571,335.8616722924233,ANG
Reactome_2022,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,1/35,0.0173665651965465,0.069466260786186,0,0,65.2156862745098,264.33277144453854,HNRNPA2B1
Reactome_2022,Interleukin-12 Signaling R-HSA-9020591,1/44,0.0217881685512207,0.0726285394059715,0,0,51.542635658914726,197.22213203300183,HNRNPA2B1
Reactome_2022,HIV Transcription Initiation R-HSA-167161,1/46,0.0227683122669265,0.0726285394059715,0,0,49.24691358024691,186.27081295676348,TAF15
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,2/496,0.0242095131353238,0.0726285394059715,0,0,9.866396761133604,36.71295724613701,TIA1;HNRNPA1
Reactome_2022,Interleukin-12 Family Signaling R-HSA-447115,1/54,0.0266800555326239,0.0738832307057279,0,0,41.79664570230608,151.46431378315344,HNRNPA2B1
Reactome_2022,Cell-cell Junction Organization R-HSA-421270,1/61,0.030091265543298,0.0773775399684806,0,0,36.907407407407405,129.30585220246812,ANG
Reactome_2022,Transcription Of HIV Genome R-HSA-167172,1/69,0.033976614095502,0.0793963799586056,0,0,32.552287581699346,110.09453231300331,TAF15
Reactome_2022,Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,1/74,0.0363978383040335,0.0793963799586056,0,0,30.315068493150687,100.4412761916998,GLE1
Reactome_2022,RNA Polymerase II Pre-transcription Events R-HSA-674695,1/80,0.03929609749471,0.0793963799586056,0,0,28.0042194092827,90.63929849888726,TAF15
Reactome_2022,Transport Of Mature Transcript To Cytoplasm R-HSA-72202,1/83,0.0407422831141832,0.0793963799586056,0,0,26.97560975609756,86.33513767066536,GLE1
Reactome_2022,Cell Junction Organization R-HSA-446728,1/86,0.0421865092184754,0.0793963799586056,0,0,26.01960784313725,82.36909635390154,ANG
Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,1/90,0.0441090999770031,0.0793963799586056,0,0,24.845193508114857,77.54406436315156,TAF15
