Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Axo-Dendritic Transport (GO:0008088),3/5,1.1348625481140815e-07,0.00010100276678215324,0,0,696.0,11130.142540797822,DCTN1;MAPT;SPG11
GO_Biological_Process_2023,Amyloid Fibril Formation (GO:1990000),4/24,2.51547457085977e-07,0.00011193861840325976,0,0,94.92380952380952,1442.4274834555008,FUS;MAPT;HNRNPA1;TARDBP
GO_Biological_Process_2023,Positive Regulation Of ATP Biosynthetic Process (GO:2001171),3/8,6.324693901049943e-07,0.0001876325857311483,0,0,278.3581395348837,3973.182208151048,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Positive Regulation Of ATP Metabolic Process (GO:1903580),3/9,9.471796844092264e-07,0.0002107474797810529,0,0,231.95348837209303,3217.143162985937,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Regulation Of Autophagy (GO:0010506),7/241,1.212695739554906e-06,0.0002158598416407733,0,0,15.126013587552048,206.0566127497117,TBK1;TREM2;MAPT;SQSTM1;C9ORF72;OPTN;UBQLN2
GO_Biological_Process_2023,Astrocyte Activation (GO:0048143),3/12,2.468761439877347e-06,0.0003138853830701198,0,0,154.6124031007752,1996.323494729249,TREM2;MAPT;PSEN1
GO_Biological_Process_2023,Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373),3/12,2.468761439877347e-06,0.0003138853830701198,0,0,154.6124031007752,1996.323494729249,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Regulation Of ATP Biosynthetic Process (GO:2001169),3/14,4.071546416978381e-06,0.0004529595388888449,0,0,126.48837209302326,1569.9088713446868,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Astrocyte Development (GO:0014002),3/15,5.081244277864436e-06,0.00046449310151095753,0,0,115.94186046511628,1413.3259909358262,TREM2;PSEN1;MAPT
GO_Biological_Process_2023,Regulation Of Mitochondrion Organization (GO:0010821),4/50,5.219023612482669e-06,0.00046449310151095753,0,0,41.21739130434783,501.3353830213611,TREM2;MAPT;SQSTM1;PPARGC1A
GO_Biological_Process_2023,Synapse Organization (GO:0050808),5/131,1.2338813972996848e-05,0.000998322221451563,0,0,19.1908633372048,216.9097350921243,UNC13A;DCTN1;CHCHD10;MAPT;PSEN1
GO_Biological_Process_2023,Positive Regulation Of Macroautophagy (GO:0016239),4/64,1.406440659042641e-05,0.0010431101554566,0,0,31.57777777777778,352.7826168856104,SPTLC1;TBK1;C9ORF72;OPTN
GO_Biological_Process_2023,Stress Granule Assembly (GO:0034063),3/24,2.2277900155129167e-05,0.0015251793183126,0,0,66.22259136212625,709.3707959300292,TIA1;MAPT;C9ORF72
