Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Amyotrophic lateral sclerosis,13/364,2.672708080684656e-22,6.414499393643173e-21,0,0,727.2222222222222,36123.876550546425,VCP;FUS;DCTN1;SOD1;FIG4;SETX;ALS2;VAPB;CHMP2B;TARDBP;SQSTM1;OPTN;UBQLN2
KEGG_2021_Human,Pathways of neurodegeneration,11/475,4.1271893073668735e-16,4.952627168840248e-15,0,0,154.26867816091954,5464.777381628162,FIG4;VCP;ALS2;FUS;DCTN1;VAPB;CHMP2B;TARDBP;SQSTM1;OPTN;SOD1
KEGG_2021_Human,Mitophagy,2/68,0.0010095147214072,0.0080761177712578,0,0,50.30303030303031,347.00466642918985,SQSTM1;OPTN
KEGG_2021_Human,mRNA surveillance pathway,2/98,0.002081234343331,0.0124874060599861,0,0,34.53125,213.2233596975422,FUS;TARDBP
KEGG_2021_Human,Necroptosis,2/159,0.005367810392313,0.0247267791627799,0,0,21.049893842887474,110.03485107878144,CHMP2B;SQSTM1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0061816947906949,0.0247267791627799,0,0,19.543392504930967,99.40087608376928,VCP;UBQLN2
KEGG_2021_Human,RNA transport,2/186,0.0072735616910681,0.024937925797948,0,0,17.93659420289855,88.31098641618622,FUS;TARDBP
KEGG_2021_Human,Huntington disease,2/306,0.0188062837446068,0.0564188512338205,0,0,10.790570175438596,42.87702359767923,DCTN1;SOD1
KEGG_2021_Human,Vasopressin-regulated water reabsorption,1/44,0.0303729561855169,0.080994549828045,0,0,35.67620751341681,124.65989939397582,DCTN1
KEGG_2021_Human,Cholesterol metabolism,1/50,0.0344477141698711,0.0826745140076907,0,0,31.298273155416013,105.4223689491126,VAPB
KEGG_2021_Human,Legionellosis,1/57,0.0391815009686787,0.08548691120439,0,0,27.376373626373628,88.68714644738452,VCP
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.0499207817226997,0.0998415634453995,0,0,21.275641025641026,63.76985958511893,FIG4
KEGG_2021_Human,Peroxisome,1/82,0.0559125386720864,0.1032231483176981,0,0,18.903133903133902,54.51600716299186,SOD1
KEGG_2021_Human,Longevity regulating pathway,1/102,0.0691021520388372,0.1184608320665781,0,0,15.144706778370145,40.46922209874876,SOD1
KEGG_2021_Human,Osteoclast differentiation,1/127,0.0853485543584609,0.1311971272443252,0,0,12.124542124542124,29.838640846336183,SQSTM1
KEGG_2021_Human,Autophagy,1/137,0.091773081302606,0.1311971272443252,0,0,11.22737556561086,26.815870864611973,SQSTM1
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.0930529477800092,0.1311971272443252,0,0,11.063545150501673,26.271346249500876,SQSTM1
KEGG_2021_Human,Spliceosome,1/150,0.100062328683337,0.1311971272443252,0,0,10.241094475993805,23.574610325457964,FUS
KEGG_2021_Human,Cellular senescence,1/156,0.1038643924017574,0.1311971272443252,0,0,9.84168734491315,22.288165712956463,SQSTM1
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.1263653395273989,0.1516384074328786,0,0,7.97221103503826,16.491140736895943,FUS
KEGG_2021_Human,Shigellosis,1/246,0.1591348899679038,0.1697787341121172,0,0,6.198116169544741,11.392156559255088,SQSTM1
KEGG_2021_Human,Salmonella infection,1/249,0.1609215178436894,0.1697787341121172,0,0,6.1222084367245655,11.184286075137171,DCTN1
KEGG_2021_Human,Endocytosis,1/252,0.162704620190779,0.1697787341121172,0,0,6.048115231382163,10.982281753993297,CHMP2B
KEGG_2021_Human,Prion disease,1/273,0.1750881603853759,0.1750881603853759,0,0,5.575226244343892,9.714640267906365,SOD1
