Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Nuclear Signaling By ERBB4 R-HSA-1251985,2/32,7.432436142121351e-06,0.0005202705299484946,0,0,1331.1333333333334,15720.22791997129,ERBB4;PSEN1
Reactome_2022,Signaling By ERBB4 R-HSA-1236394,2/57,2.3896007749647264e-05,0.0008363602712376543,0,0,725.1636363636363,7717.045771054736,ERBB4;PSEN1
Reactome_2022,Noncanonical Activation Of NOTCH3 R-HSA-9017802,1/8,0.0011995541091196,0.0098747706175661,0,0,1427.857142857143,9603.48923469958,PSEN1
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,2/424,0.0013262545601159,0.0098747706175661,0,0,92.77251184834124,614.6546687732613,ERBB4;PSEN1
Reactome_2022,Downregulation Of ERBB4 Signaling R-HSA-1253288,1/9,0.0013494318923464,0.0098747706175661,0,0,1249.3125,8255.5464452602,ERBB4
Reactome_2022,PI3K Events In ERBB4 Signaling R-HSA-1250342,1/10,0.0014992947695318,0.0098747706175661,0,0,1110.4444444444443,7220.954198683598,ERBB4
Reactome_2022,Regulated Proteolysis Of p75NTR R-HSA-193692,1/11,0.0016491427308511,0.0098747706175661,0,0,999.35,6403.334808352065,PSEN1
Reactome_2022,NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700,1/11,0.0016491427308511,0.0098747706175661,0,0,999.35,6403.334808352065,PSEN1
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,2/496,0.0018111306853196,0.0098747706175661,0,0,78.95951417004049,498.53489172404574,ERBB4;PSEN1
Reactome_2022,ERBB2 Activates PTK6 Signaling R-HSA-8847993,1/13,0.0019487938770013,0.0098747706175661,0,0,832.7083333333334,5196.553511599695,ERBB4
Reactome_2022,SHC1 Events In ERBB4 Signaling R-HSA-1250347,1/13,0.0019487938770013,0.0098747706175661,0,0,832.7083333333334,5196.553511599695,ERBB4
Reactome_2022,Axon Guidance R-HSA-422475,2/519,0.0019816253998947,0.0098747706175661,0,0,75.357833655706,469.01493830464096,TREM2;PSEN1
Reactome_2022,Nervous System Development R-HSA-9675108,2/545,0.0021834180258422,0.0098747706175661,0,0,71.65377532228361,439.0129170173767,TREM2;PSEN1
Reactome_2022,ERBB2 Regulates Cell Motility R-HSA-6785631,1/15,0.002248385285759,0.0098747706175661,0,0,713.6785714285714,4351.685756891909,ERBB4
Reactome_2022,GRB2 Events In ERBB2 Signaling R-HSA-1963640,1/15,0.002248385285759,0.0098747706175661,0,0,713.6785714285714,4351.685756891909,ERBB4
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,1/16,0.0023981585785517,0.0098747706175661,0,0,666.0666666666667,4018.416230915481,ERBB4
Reactome_2022,NRIF Signals Cell Death From Nucleus R-HSA-205043,1/16,0.0023981585785517,0.0098747706175661,0,0,666.0666666666667,4018.416230915481,PSEN1
Reactome_2022,Other Semaphorin Interactions R-HSA-416700,1/19,0.002847388777574,0.0104872473032689,0,0,554.9722222222222,3252.888056951129,TREM2
Reactome_2022,NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096,1/21,0.0031468008242819,0.0104872473032689,0,0,499.425,2877.371689634861,PSEN1
Reactome_2022,Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,1/21,0.0031468008242819,0.0104872473032689,0,0,499.425,2877.371689634861,ERBB4
Reactome_2022,SHC1 Events In ERBB2 Signaling R-HSA-1250196,1/21,0.0031468008242819,0.0104872473032689,0,0,499.425,2877.371689634861,ERBB4
