Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Amyotrophic lateral sclerosis,27/364,3.986614041292268e-39,2.910228250143356e-37,0,0,142.93903425950904,12638.365859225005,VCP;DCTN1;ATXN2;TBK1;ERBB4;KIF5A;HNRNPA1;NEFH;SPG11;UBQLN2;PRPH;FUS;SIGMAR1;CHCHD10;TUBA4A;SOD1;FIG4;SETX;ALS2;VAPB;HNRNPA2B1;CHMP2B;MATR3;PFN1;TARDBP;SQSTM1;OPTN
KEGG_2021_Human,Pathways of neurodegeneration,21/475,9.890876839599622e-25,3.6101700464538616e-23,0,0,53.07955428867582,2933.8669751219877,VCP;FUS;DCTN1;SIGMAR1;PSEN1;TUBA4A;SOD1;FIG4;ATXN2;TBK1;ALS2;VAPB;CHMP2B;KIF5A;MAPT;TARDBP;SQSTM1;NEFH;SPG11;OPTN;PRPH
KEGG_2021_Human,Huntington disease,5/306,0.0002692077174888217,0.0053145305461814,0,0,9.89680861773885,81.35203694517375,DCTN1;KIF5A;PPARGC1A;TUBA4A;SOD1
KEGG_2021_Human,Mitophagy,3/68,0.00029120715321542454,0.0053145305461814,0,0,26.2378021978022,213.6144284200033,TBK1;SQSTM1;OPTN
KEGG_2021_Human,Salmonella infection,4/249,0.0012413585132347,0.0181238342932274,0,0,9.46794717887155,63.35523175613434,DCTN1;KIF5A;PFN1;TUBA4A
KEGG_2021_Human,Osteoclast differentiation,3/127,0.001793341739257,0.0218189911609608,0,0,13.712903225806452,86.71593653460145,CYLD;TREM2;SQSTM1
KEGG_2021_Human,Necroptosis,3/159,0.0033916233926368,0.0353697868089271,0,0,10.882417582417585,61.88228641050536,CYLD;CHMP2B;SQSTM1
KEGG_2021_Human,Alzheimer disease,4/369,0.0051299518808928,0.0468108109131475,0,0,6.31651893634166,33.304850417022806,KIF5A;MAPT;PSEN1;TUBA4A
KEGG_2021_Human,RIG-I-like receptor signaling pathway,2/70,0.0078258434281217,0.0634762855836541,0,0,16.25326797385621,78.83361186412243,CYLD;TBK1
KEGG_2021_Human,Shigellosis,3/246,0.0112934681030271,0.077432821524709,0,0,6.955555555555556,31.185447316656767,TBK1;PFN1;SQSTM1
KEGG_2021_Human,Parkinson disease,3/249,0.0116679594078328,0.077432821524709,0,0,6.869686411149826,30.576347054284028,KIF5A;MAPT;TUBA4A
KEGG_2021_Human,mRNA surveillance pathway,2/98,0.0148976436191685,0.0837864359587764,0,0,11.49652777777778,48.360744502255336,FUS;TARDBP
KEGG_2021_Human,Prion disease,3/273,0.0149225620821939,0.0837864359587764,0,0,6.251428571428572,26.28651308296436,KIF5A;TUBA4A;SOD1
KEGG_2021_Human,Longevity regulating pathway,2/102,0.0160686315537379,0.0837864359587764,0,0,11.034444444444444,45.58203492237632,PPARGC1A;SOD1
KEGG_2021_Human,Autophagy,2/137,0.0278812881988325,0.1356889359009851,0,0,8.15925925925926,29.208512127193195,TBK1;SQSTM1
KEGG_2021_Human,Spliceosome,2/150,0.032935419116809,0.1502678497204413,0,0,7.437687687687688,25.38636493786472,FUS;HNRNPA1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0417909660410956,0.1794553247647048,0,0,6.5065746219592375,20.658862978867585,VCP;UBQLN2
KEGG_2021_Human,RNA transport,2/186,0.0486028729657669,0.1971116514722772,0,0,5.971618357487923,18.05860766333991,FUS;TARDBP
KEGG_2021_Human,Transcriptional misregulation in cancer,2/192,0.0514341861336843,0.1976155572504715,0,0,5.781286549707603,17.1556916510452,TAF15;FUS
KEGG_2021_Human,Vasopressin-regulated water reabsorption,1/44,0.0803566737137997,0.2744231888819541,0,0,12.519798868636078,31.565920146684604,DCTN1
KEGG_2021_Human,Basal transcription factors,1/45,0.0821078453666122,0.2744231888819541,0,0,12.234643734643734,30.583204538292836,TAF15
KEGG_2021_Human,Endocytosis,2/252,0.0827028788411368,0.2744231888819541,0,0,4.380444444444445,10.918261575201496,CHMP2B;KIF5A
KEGG_2021_Human,Cholesterol metabolism,1/50,0.0908151166313484,0.2882392832212365,0,0,10.983452840595698,26.34852930034076,VAPB
KEGG_2021_Human,Legionellosis,1/57,0.1028703121114427,0.3011779413909813,0,0,9.607142857142858,21.849392323495767,VCP
KEGG_2021_Human,Notch signaling pathway,1/59,0.1062859713503997,0.3011779413909813,0,0,9.27493010251631,20.790887130567647,PSEN1
KEGG_2021_Human,MAPK signaling pathway,2/294,0.1072688558378837,0.3011779413909813,0,0,3.7423896499238967,8.354573993008671,ERBB4;MAPT
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.1130793450954072,0.3057330441468419,0,0,8.674803836094158,18.908170967748465,TBK1
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.1231752265840046,0.3068989536077072,0,0,7.906995230524642,16.558412958427734,PPARGC1A
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.1281811174180782,0.3068989536077072,0,0,7.571754853444994,15.554739552581722,KIF5A
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.1298435555361198,0.3068989536077072,0,0,7.466216216216216,15.241720231400874,FIG4
KEGG_2021_Human,Human papillomavirus infection,2/331,0.130326952901903,0.3068989536077072,0,0,3.3152651131374538,6.755545437684447,TBK1;PSEN1
KEGG_2021_Human,Peroxisome,1/82,0.1446672613825997,0.3300221900290557,0,0,6.633633633633633,12.824929429623497,SOD1
KEGG_2021_Human,ErbB signaling pathway,1/85,0.149553633350494,0.330830764684426,0,0,6.395752895752896,12.15257134984066,ERBB4
KEGG_2021_Human,Gap junction,1/88,0.15441282082707,0.3315334094228269,0,0,6.174277726001864,11.534326333281012,TUBA4A
KEGG_2021_Human,IL-17 signaling pathway,1/94,0.1640502303239011,0.3396753407266077,0,0,5.774193548387097,10.437331877116597,TBK1
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.1798754132162847,0.3396753407266077,0,0,5.2109682498032015,8.939368177797602,TBK1
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.1798754132162847,0.3396753407266077,0,0,5.2109682498032015,8.939368177797602,CYLD
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.1798754132162847,0.3396753407266077,0,0,5.2109682498032015,8.939368177797602,CYLD
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.1845658181806441,0.3396753407266077,0,0,5.06272310045895,8.554732010177016,PPARGC1A
KEGG_2021_Human,Insulin resistance,1/108,0.1861234743707439,0.3396753407266077,0,0,5.015155342258146,8.432206282752748,PPARGC1A
KEGG_2021_Human,Neurotrophin signaling pathway,1/119,0.2030676194261241,0.3487254400734964,0,0,4.54512139257902,7.245906404019345,PSEN1
KEGG_2021_Human,AMPK signaling pathway,1/120,0.2045908520206774,0.3487254400734964,0,0,4.506699977288212,7.150975263966962,PPARGC1A
KEGG_2021_Human,Dopaminergic synapse,1/132,0.2226499760782333,0.3487254400734964,0,0,4.091396740251702,6.145909429992646,KIF5A
KEGG_2021_Human,Insulin signaling pathway,1/137,0.2300562149832744,0.3487254400734964,0,0,3.939984101748808,5.789537091199061,PPARGC1A
KEGG_2021_Human,Apelin signaling pathway,1/137,0.2300562149832744,0.3487254400734964,0,0,3.939984101748808,5.789537091199061,PPARGC1A
