Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Amyotrophic lateral sclerosis,12/364,1.102096296821791e-21,4.408385187287164e-20,0,0,235632.0,11370910.59268385,SETX;VCP;TBK1;ALS2;FUS;VAPB;CHMP2B;TARDBP;SQSTM1;OPTN;UBQLN2;SOD1
KEGG_2021_Human,Pathways of neurodegeneration,10/475,3.288078647998893e-15,6.576157295997787e-14,0,0,209.9247311827957,7000.669229523826,VCP;TBK1;ALS2;FUS;VAPB;CHMP2B;TARDBP;SQSTM1;OPTN;SOD1
KEGG_2021_Human,Mitophagy,3/68,8.090234011912252e-06,0.00010786978682549668,0,0,102.16923076923077,1197.9192018022266,TBK1;SQSTM1;OPTN
KEGG_2021_Human,mRNA surveillance pathway,2/98,0.0015191345837264,0.0151913458372644,0,0,41.44166666666667,268.9404392083059,FUS;TARDBP
KEGG_2021_Human,Autophagy,2/137,0.0029391057022227,0.0235128456177822,0,0,29.411851851851853,171.4607999958469,TBK1;SQSTM1
KEGG_2021_Human,Necroptosis,2/159,0.0039339344000685,0.0259085974288556,0,0,25.262420382165605,139.906195173173,CHMP2B;SQSTM1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0045340045500497,0.0259085974288556,0,0,23.454437869822485,126.56365842274693,VCP;UBQLN2
KEGG_2021_Human,RNA transport,2/186,0.0053401288138885,0.0267006440694426,0,0,21.526086956521738,112.63536847635238,FUS;TARDBP
KEGG_2021_Human,Shigellosis,2/246,0.0091683321030275,0.0407481426801223,0,0,16.18360655737705,75.93348027624658,TBK1;SQSTM1
KEGG_2021_Human,Cholesterol metabolism,1/50,0.029598761568907,0.1183950462756283,0,0,36.99257884972171,130.2147194065139,VAPB
KEGG_2021_Human,Legionellosis,1/57,0.0336778952288052,0.1224650735592916,0,0,32.357142857142854,109.72027527854156,VCP
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.0371617795762726,0.1238725985875755,0,0,29.21700879765396,96.19625574937484,TBK1
KEGG_2021_Human,RIG-I-like receptor signaling pathway,1/70,0.0412117579843178,0.1268054091825164,0,0,26.24374176548089,83.69212377043256,TBK1
KEGG_2021_Human,Peroxisome,1/82,0.0481182666384021,0.137480761824006,0,0,22.34231200897868,67.78866163441084,SOD1
KEGG_2021_Human,IL-17 signaling pathway,1/94,0.0549791450637696,0.1427338469683571,0,0,19.44770283479961,56.41392256593172,TBK1
KEGG_2021_Human,Longevity regulating pathway,1/102,0.0595278491998325,0.1427338469683571,0,0,17.900090009000902,50.50172123995827,SOD1
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.0606618849615517,0.1427338469683571,0,0,17.550750220653132,49.1849192357055,TBK1
KEGG_2021_Human,Osteoclast differentiation,1/127,0.0736135110460111,0.1488139112573825,0,0,14.330447330447331,37.38708660746238,SQSTM1
KEGG_2021_Human,Yersinia infection,1/137,0.0791934251499148,0.1488139112573825,0,0,13.270053475935828,33.65102433952089,TBK1
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.0803057041431777,0.1488139112573825,0,0,13.076416337285902,32.97760560549118,SQSTM1
KEGG_2021_Human,Measles,1/139,0.0803057041431777,0.1488139112573825,0,0,13.076416337285902,32.97760560549118,TBK1
KEGG_2021_Human,Spliceosome,1/150,0.0864012549894363,0.1488139112573825,0,0,12.104331909701036,29.640520020250488,FUS
KEGG_2021_Human,Cellular senescence,1/156,0.0897104702121582,0.1488139112573825,0,0,11.63225806451613,28.04732599288136,SQSTM1
KEGG_2021_Human,Hepatitis C,1/157,0.0902609366199126,0.1488139112573825,0,0,11.557109557109555,27.795432208182252,TBK1
KEGG_2021_Human,Hepatitis B,1/162,0.0930086945358641,0.1488139112573825,0,0,11.19536984754376,26.589700865792462,TBK1
KEGG_2021_Human,Influenza A,1/172,0.0984814009529726,0.1493565306439853,0,0,10.535353535353536,24.419765020383803,TBK1
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.1033809387104494,0.1493565306439853,0,0,10.004040404040405,22.70251581962161,TBK1
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.1093361111686029,0.1493565306439853,0,0,9.42265587815326,20.855433296054045,FUS
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.1098756886076526,0.1493565306439853,0,0,9.37310606060606,20.69962043670308,TBK1
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.1147184190804538,0.1493565306439853,0,0,8.949344188150159,19.37778839920658,TBK1
KEGG_2021_Human,Human immunodeficiency virus 1 infection,1/212,0.1200708971194792,0.1493565306439853,0,0,8.520896165445928,18.06151269694429,TBK1
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.1216708462021688,0.1493565306439853,0,0,8.40016992353441,17.694419176440732,TBK1
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.126984770088551,0.1493565306439853,0,0,8.021103896103897,16.553056821898632,TBK1
KEGG_2021_Human,Coronavirus disease,1/232,0.1306869643134872,0.1493565306439853,0,0,7.775285320739866,15.822319979694852,TBK1
KEGG_2021_Human,Ras signaling pathway,1/232,0.1306869643134872,0.1493565306439853,0,0,7.775285320739866,15.822319979694852,TBK1
KEGG_2021_Human,Endocytosis,1/252,0.1411855074598426,0.1568727860664918,0,0,7.148496921405288,13.994473724874467,CHMP2B
KEGG_2021_Human,Prion disease,1/273,0.1520837876732412,0.1644149055926932,0,0,6.589572192513369,12.410297320374392,SOD1
KEGG_2021_Human,Huntington disease,1/306,0.1689537697970903,0.1778460734706213,0,0,5.8667660208643815,10.431873562163403,SOD1
KEGG_2021_Human,Human papillomavirus infection,1/331,0.1815286096559233,0.1861831893906906,0,0,5.415426997245179,9.240570580670203,TBK1
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.2611546544729327,0.2611546544729327,0,0,3.5652094384488757,4.786801717997988,TBK1
