Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Macroautophagy R-HSA-1632852,3/114,9.8919549288328e-06,0.000868389105269643,0,0,107.46486486486486,1238.4024023233408,VCP;CHMP2B;SQSTM1
Reactome_2022,Autophagy R-HSA-9612973,3/128,1.4006275891445854e-05,0.000868389105269643,0,0,95.3616,1065.7617232557209,VCP;CHMP2B;SQSTM1
Reactome_2022,Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440,2/35,8.27524426363012e-05,0.0022962352072186,0,0,201.6060606060606,1895.027824035605,CYLD;TBK1
Reactome_2022,Neddylation R-HSA-8951664,3/237,8.805470152079667e-05,0.0022962352072186,0,0,50.66153846153846,473.0547664225507,VCP;CCNF;SQSTM1
Reactome_2022,Early SARS-CoV-2 Infection Events R-HSA-9772572,2/37,9.259012932333438e-05,0.0022962352072186,0,0,190.06666666666663,1765.2114783882112,VCP;CHMP2B
Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,3/283,0.00014893438361127302,0.0030779772612996,0,0,42.24,372.2190796879828,VCP;TBK1;CHMP2B
Reactome_2022,SARS-CoV-1 Infection R-HSA-9678108,2/52,0.00018379456792760984,0.0032557894890033,0,0,132.94666666666666,1143.5662661624317,VCP;CHMP2B
Reactome_2022,Selective Autophagy R-HSA-9663891,2/61,0.00025319721872997823,0.0039245568903146,0,0,112.61581920903954,932.6100968393628,VCP;SQSTM1
Reactome_2022,SARS-CoV Infections R-HSA-9679506,3/369,0.0003256335108613824,0.0044865061496457,0,0,32.17377049180328,258.34694780430823,VCP;TBK1;CHMP2B
Reactome_2022,Immune System R-HSA-168256,5/1943,0.0003749083477748138,0.0046488635124076,0,0,15.526315789473683,122.48444976320572,CYLD;VCP;TBK1;CCNF;SQSTM1
Reactome_2022,DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,2/81,0.0004464940726048592,0.0050332059093638,0,0,84.0210970464135,648.145836767381,CYLD;TBK1
Reactome_2022,KEAP1-NFE2L2 Pathway R-HSA-9755511,2/100,0.0006795551666861537,0.0070220700557569,0,0,67.66666666666667,493.5655481733249,VCP;SQSTM1
Reactome_2022,Post-translational Protein Modification R-HSA-597592,4/1383,0.0012713969086024,0.0110571732020812,0,0,13.49746192893401,89.99620430013954,CYLD;VCP;CCNF;SQSTM1
Reactome_2022,Death Receptor Signaling R-HSA-73887,2/139,0.0013064481687192,0.0110571732020812,0,0,48.30900243309002,320.79318407986983,CYLD;SQSTM1
Reactome_2022,Membrane Trafficking R-HSA-199991,3/599,0.0013375612744453,0.0110571732020812,0,0,19.52617449664429,129.2028859347655,CHMP2B;OPTN;UBQLN2
Reactome_2022,Interleukin-1 Family Signaling R-HSA-446652,2/152,0.0015591500746101,0.0116521828424686,0,0,44.09333333333333,285.0023056071456,TBK1;SQSTM1
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,3/637,0.0015974766800158,0.0116521828424686,0,0,18.3198738170347,117.96771250965676,CHMP2B;OPTN;UBQLN2
Reactome_2022,Attachment And Entry R-HSA-9678110,1/5,0.0019985634316589,0.0130432560803007,0,0,713.8571428571429,4436.855317641398,VCP
