Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Amyotrophic lateral sclerosis,6/364,2.4046162650131985e-10,3.3664627710184782e-09,0,0,329.0782122905028,7288.575818010598,SETX;ALS2;VAPB;SIGMAR1;SPG11;SOD1
KEGG_2021_Human,Pathways of neurodegeneration,5/475,1.494006877206016e-07,1.045804814044211e-06,0,0,103.84574468085108,1632.1055575606997,ALS2;VAPB;SIGMAR1;SPG11;SOD1
KEGG_2021_Human,Longevity regulating pathway,2/102,0.0005319184795012633,0.0024822862376725,0,0,79.572,599.894924456191,PPARGC1A;SOD1
KEGG_2021_Human,Huntington disease,2/306,0.0046572828395048,0.0163004899382669,0,0,25.90657894736842,139.10079233211576,PPARGC1A;SOD1
KEGG_2021_Human,Cholesterol metabolism,1/50,0.0173717414502839,0.048640876060795,0,0,67.83673469387755,274.9362107684438,VAPB
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.0239048624297548,0.0548128854690709,0,0,48.83578431372549,182.336868459542,PPARGC1A
KEGG_2021_Human,Peroxisome,1/82,0.028353412163333,0.0548128854690709,0,0,40.97119341563786,145.98068571220736,SOD1
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.0368594932260918,0.0548128854690709,0,0,31.2688679245283,103.20734112335164,PPARGC1A
KEGG_2021_Human,Insulin resistance,1/108,0.0371984046126248,0.0548128854690709,0,0,30.97507788161994,101.9541406781754,PPARGC1A
KEGG_2021_Human,AMPK signaling pathway,1/120,0.0412573754770396,0.0548128854690709,0,0,27.834733893557424,88.73505470110672,PPARGC1A
KEGG_2021_Human,Insulin signaling pathway,1/137,0.0469824732592036,0.0548128854690709,0,0,24.334558823529413,74.41461015948276,PPARGC1A
KEGG_2021_Human,Apelin signaling pathway,1/137,0.0469824732592036,0.0548128854690709,0,0,24.334558823529413,74.41461015948276,PPARGC1A
KEGG_2021_Human,Thermogenesis,1/232,0.0784393134350671,0.0844731067762262,0,0,14.258297258297258,36.29349802410164,PPARGC1A
KEGG_2021_Human,Prion disease,1/273,0.0917379324655175,0.0917379324655175,0,0,12.083946078431373,28.866363938089503,SOD1
