Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Amyloid Fibril Formation (GO:1990000),4/24,1.9829665680055187e-08,1.483258992868128e-05,0,0,190.04761904761904,3370.701058792752,FUS;MAPT;HNRNPA1;TARDBP
GO_Biological_Process_2023,Positive Regulation Of ATP Biosynthetic Process (GO:2001171),3/8,9.620457240600273e-08,3.5951044327655345e-05,0,0,544.6363636363636,8799.574781875119,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Positive Regulation Of ATP Metabolic Process (GO:1903580),3/9,1.4418868045851077e-07,3.5951044327655345e-05,0,0,453.84090909090907,7148.966951023045,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373),3/12,3.767083402394977e-07,4.493353215465244e-05,0,0,302.5151515151515,4474.741979222512,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Astrocyte Activation (GO:0048143),3/12,3.767083402394977e-07,4.493353215465244e-05,0,0,302.5151515151515,4474.741979222512,TREM2;MAPT;PSEN1
GO_Biological_Process_2023,Regulation Of Autophagy (GO:0010506),6/241,4.204936909245179e-07,4.493353215465244e-05,0,0,26.526315789473685,389.4550276916788,TBK1;TREM2;MAPT;SQSTM1;OPTN;UBQLN2
GO_Biological_Process_2023,Regulation Of Mitochondrion Organization (GO:0010821),4/50,4.205009693617207e-07,4.493353215465244e-05,0,0,82.52173913043478,1211.569241792194,TREM2;MAPT;SQSTM1;PPARGC1A
GO_Biological_Process_2023,Regulation Of ATP Biosynthetic Process (GO:2001169),3/14,6.222573804107996e-07,5.818106506840976e-05,0,0,247.48760330578511,3536.5760809738485,VCP;TREM2;PPARGC1A
GO_Biological_Process_2023,Astrocyte Development (GO:0014002),3/15,7.771823542026143e-07,6.45924889937284e-05,0,0,226.85227272727272,3191.264950226428,TREM2;PSEN1;MAPT
GO_Biological_Process_2023,RNA Processing (GO:0006396),5/183,2.780538266358073e-06,0.00020798426232358384,0,0,27.80477528089888,355.7027651075118,SETX;FUS;HNRNPA2B1;TARDBP;PPARGC1A
