Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Amyotrophic lateral sclerosis,18/364,1.3487093128098442e-26,7.4179012204541425e-25,0,0,145.8802642444261,8689.804967513304,VCP;FUS;SIGMAR1;CHCHD10;SOD1;SETX;TBK1;ALS2;VAPB;HNRNPA2B1;CHMP2B;MATR3;TARDBP;HNRNPA1;SQSTM1;SPG11;OPTN;UBQLN2
KEGG_2021_Human,Pathways of neurodegeneration,14/475,5.2736695840707905e-17,1.4502591356194676e-15,0,0,53.87418655097614,2019.2702462444336,VCP;FUS;SIGMAR1;PSEN1;SOD1;TBK1;ALS2;VAPB;CHMP2B;MAPT;TARDBP;SQSTM1;SPG11;OPTN
KEGG_2021_Human,Mitophagy,3/68,8.194477284226889e-05,0.0015023208354415,0,0,41.76923076923077,393.026116651049,TBK1;SQSTM1;OPTN
KEGG_2021_Human,Osteoclast differentiation,3/127,0.0005192358906225087,0.0071394934960594,0,0,21.830278592375368,165.10572105107244,CYLD;TREM2;SQSTM1
KEGG_2021_Human,Necroptosis,3/159,0.000997218835369675,0.0109694071890664,0,0,17.3243006993007,119.72027846776956,CYLD;CHMP2B;SQSTM1
KEGG_2021_Human,RIG-I-like receptor signaling pathway,2/70,0.0034388699204844,0.0315229742711072,0,0,25.456521739130437,144.40498019235108,CYLD;TBK1
KEGG_2021_Human,mRNA surveillance pathway,2/98,0.0066249984591573,0.0492104874141683,0,0,18.006340579710145,90.33610260135455,FUS;TARDBP
KEGG_2021_Human,Longevity regulating pathway,2/102,0.0071578890784244,0.0492104874141683,0,0,17.282608695652176,85.36813977232643,PPARGC1A;SOD1
KEGG_2021_Human,Autophagy,2/137,0.0126051138276089,0.0770312511687215,0,0,12.77938808373591,55.892605043800906,TBK1;SQSTM1
KEGG_2021_Human,Spliceosome,2/150,0.014971712638495,0.0823444195117226,0,0,11.649236192714454,48.94534554268627,FUS;HNRNPA1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0191650954260513,0.0958254771302565,0,0,10.190892719320813,40.30156268946794,VCP;UBQLN2
KEGG_2021_Human,RNA transport,2/186,0.0224288859774444,0.1027990607299539,0,0,9.353024574669186,35.51722788103063,FUS;TARDBP
KEGG_2021_Human,Shigellosis,2/246,0.0375405315899198,0.158825325957353,0,0,7.031717747683535,23.080446855476527,TBK1;SQSTM1
KEGG_2021_Human,Huntington disease,2/306,0.0555616381219642,0.2120409172796659,0,0,5.626716247139588,16.262685716395413,PPARGC1A;SOD1
KEGG_2021_Human,Cholesterol metabolism,1/50,0.0606955298241754,0.2120409172796659,0,0,16.943877551020407,47.47480020477031,VAPB
KEGG_2021_Human,Human papillomavirus infection,2/331,0.0638166139501869,0.2120409172796659,0,0,5.192546583850931,14.288547045958206,TBK1;PSEN1
KEGG_2021_Human,Legionellosis,1/57,0.0689053446517472,0.2120409172796659,0,0,14.820684523809524,39.64565023244249,VCP
KEGG_2021_Human,Notch signaling pathway,1/59,0.071238324931138,0.2120409172796659,0,0,14.308189655172416,37.79829278577611,PSEN1
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.0758874616960385,0.2120409172796659,0,0,13.38239247311828,34.506549888818924,TBK1
KEGG_2021_Human,Alzheimer disease,2/369,0.0771057881016966,0.2120409172796659,0,0,4.64589503613316,11.905463432179268,MAPT;PSEN1
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.0828193009171873,0.2169076928783477,0,0,12.197916666666666,30.386158751602967,PPARGC1A
KEGG_2021_Human,Peroxisome,1/82,0.0976674550008274,0.2441686375020686,0,0,10.233539094650206,23.805124449422923,SOD1
KEGG_2021_Human,IL-17 signaling pathway,1/94,0.1111684164109228,0.2488248731738632,0,0,8.907706093189963,19.56763781102837,TBK1
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.1222708784099096,0.2488248731738632,0,0,8.03883495145631,16.893743331988254,TBK1
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.1222708784099096,0.2488248731738632,0,0,8.03883495145631,16.893743331988254,CYLD
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.1222708784099096,0.2488248731738632,0,0,8.03883495145631,16.893743331988254,CYLD
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.1255755728775445,0.2488248731738632,0,0,7.810141509433962,16.20485279887959,PPARGC1A
KEGG_2021_Human,Insulin resistance,1/108,0.1266744808885122,0.2488248731738632,0,0,7.736760124610591,15.985187983477685,PPARGC1A
