Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,NRIF Signals Cell Death From Nucleus R-HSA-205043,2/16,0.0001780806483866989,0.0220702813131732,0,0,123.98136645962732,1070.3651111926358,PSEN1;SQSTM1
Reactome_2022,Immune System R-HSA-168256,9/1943,0.0003646360058690836,0.0220702813131732,0,0,5.247188469493278,41.53994967412825,CYLD;VCP;TBK1;HNRNPA2B1;CCNF;TREM2;PSEN1;SQSTM1;SOD1
Reactome_2022,Macroautophagy R-HSA-1632852,3/114,0.0003785579805760263,0.0220702813131732,0,0,24.402948402948404,192.274278888393,VCP;CHMP2B;SQSTM1
Reactome_2022,FGFR2 Alternative Splicing R-HSA-6803529,2/26,0.0004786240682184299,0.0220702813131732,0,0,72.28623188405797,552.5989736937977,TIA1;HNRNPA1
Reactome_2022,Autophagy R-HSA-9612973,3/128,0.0005312598002012318,0.0220702813131732,0,0,21.654545454545456,163.28088970974002,VCP;CHMP2B;SQSTM1
Reactome_2022,Death Receptor Signaling R-HSA-73887,3/139,0.0006754648702812873,0.0220702813131732,0,0,19.892045454545453,145.21410815558295,CYLD;PSEN1;SQSTM1
Reactome_2022,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,2/35,0.0008702354565116898,0.0220702813131732,0,0,52.54808959156785,370.2930791940912,HNRNPA2B1;SOD1
Reactome_2022,Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440,2/35,0.0008702354565116898,0.0220702813131732,0,0,52.54808959156785,370.2930791940912,CYLD;TBK1
Reactome_2022,Early SARS-CoV-2 Infection Events R-HSA-9772572,2/37,0.0009725891624110714,0.0220702813131732,0,0,49.54037267080745,343.5896723752696,VCP;CHMP2B
Reactome_2022,SARS-CoV Infections R-HSA-9679506,4/369,0.0010610712169794,0.0220702813131732,0,0,10.233529028049576,70.08408100471178,VCP;TBK1;SIGMAR1;CHMP2B
Reactome_2022,Interleukin-12 Signaling R-HSA-9020591,2/44,0.0013741073416157,0.0235373487187778,0,0,41.26915113871635,271.9616823625152,HNRNPA2B1;SOD1
Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,3/181,0.0014480267735535,0.0235373487187778,0,0,15.166241062308478,99.15011226543044,FUS;HNRNPA2B1;HNRNPA1
Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,3/182,0.0014710842949236,0.0235373487187778,0,0,15.080751650584054,98.35297554164488,VCP;SQSTM1;SOD1
Reactome_2022,mRNA Splicing R-HSA-72172,3/189,0.0016389843123182,0.0243506240687285,0,0,14.508064516129032,93.05006220016983,FUS;HNRNPA2B1;HNRNPA1
Reactome_2022,SARS-CoV-1 Infection R-HSA-9678108,2/52,0.001914326921873,0.0265453333166392,0,0,34.65217391304348,216.8667907992902,VCP;CHMP2B
Reactome_2022,Interleukin-12 Family Signaling R-HSA-447115,2/54,0.0020627573968526,0.0268158461590838,0,0,33.31605351170568,206.01686820131164,HNRNPA2B1;SOD1
Reactome_2022,Signaling By Interleukins R-HSA-449147,4/453,0.0022523340781748,0.027557969897669,0,0,8.283381058436738,50.49373678035897,TBK1;HNRNPA2B1;SQSTM1;SOD1
Reactome_2022,Selective Autophagy R-HSA-9663891,2/61,0.002623831538954,0.0303198311168025,0,0,29.35298452468681,174.44829794230515,VCP;SQSTM1
Reactome_2022,Neddylation R-HSA-8951664,3/237,0.003116712390693,0.034119798803376,0,0,11.504079254079254,66.38977164658452,VCP;CCNF;SQSTM1
