Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Amyloid Fibril Formation (GO:1990000),3/24,5.2963664140152754e-08,8.580113590704745e-06,0,0,713.2857142857143,11950.146155098188,FUS;TARDBP;HNRNPA1
GO_Biological_Process_2023,Cellular Response To Arsenic-Containing Substance (GO:0071243),2/13,8.174867741037794e-06,0.0006621642870240613,0,0,726.6181818181818,8511.929467898439,VCP;HNRNPA1
GO_Biological_Process_2023,RNA Processing (GO:0006396),3/183,2.5672058943880983e-05,0.0013862911829695,0,0,82.55416666666666,872.6064045269309,FUS;HNRNPA2B1;TARDBP
GO_Biological_Process_2023,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),2/35,6.213249023444066e-05,0.0025053945241956,0,0,241.93939393939397,2343.4834013657746,HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,RNA Transport (GO:0050658),2/39,7.732699148752035e-05,0.0025053945241956,0,0,215.7405405405405,2042.516552754333,HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),3/316,0.00013045569792399477,0.0033202221721818,0,0,47.15654952076677,421.7906663795751,FUS;TARDBP;HNRNPA1
GO_Biological_Process_2023,mRNA Stabilization (GO:0048255),2/53,0.0001434663901560044,0.0033202221721818,0,0,156.4078431372549,1384.117094402986,FUS;TARDBP
GO_Biological_Process_2023,RNA Export From Nucleus (GO:0006405),2/65,0.0002161206042619852,0.0043764422363052,0,0,126.53968253968254,1067.9536627556583,HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,Ubiquitin-Dependent ERAD Pathway (GO:0030433),2/73,0.0002726962614621149,0.004908532706318,0,0,112.23661971830984,921.142995474641,VCP;UBQLN2
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),4/1127,0.00030596399985567186,0.0049566167976618,0,0,22.40427426536064,181.29635321394383,FUS;MATR3;TARDBP;HNRNPA1
GO_Biological_Process_2023,Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436),2/83,0.0003525264874149876,0.0051917537237479,0,0,98.33086419753086,781.768207785248,VCP;UBQLN2
GO_Biological_Process_2023,ERAD Pathway (GO:0036503),2/89,0.0004052639368547568,0.0052792956408334,0,0,91.52183908045976,714.8745231032545,VCP;UBQLN2
GO_Biological_Process_2023,Regulation Of RNA Metabolic Process (GO:0051252),2/91,0.0004236471810545356,0.0052792956408334,0,0,89.4561797752809,694.771221874901,FUS;HNRNPA1
GO_Biological_Process_2023,RNA Splicing (GO:0008380),2/98,0.0004911466072573523,0.0056832678839779,0,0,82.90416666666667,631.6276025840689,FUS;TARDBP
GO_Biological_Process_2023,Regulation Of RNA Splicing (GO:0043484),2/102,0.0005319184795012633,0.0057447195786136,0,0,79.572,599.894924456191,FUS;HNRNPA1
GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",2/180,0.0016420729140498,0.0141620021616733,0,0,44.52808988764045,285.50502254242406,HNRNPA2B1;HNRNPA1
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Membrane Potential (GO:0010918),1/5,0.0017489165149326,0.0141620021616733,0,0,832.875,5287.722499803602,VCP
